offline_datapoint_29 1631554451 0,264
offline_datapoint_17 1631554451 11,000
offline_datapoint_10 1631554451 99,086
offline_datapoint_30 1631554451 0,667
offline_datapoint_23 1631554451 5787,152
offline_datapoint_4 1631554451 0,003
offline_datapoint_11 1631554456 32647,000
offline_datapoint_5 1631554456 3841,000
offline_datapoint_18 1631554454 58,437
offline_datapoint_27 1631554456 391389184,000
offline_datapoint_14 1631554456 359280640,000
offline_datapoint_3 1631554456 12173049856,000
offline_datapoint_9 1631554456 216891392,000
offline_datapoint_26 1631554456 1284,000
offline_datapoint_20 1631554454 10,693
offline_datapoint_8 1631554454 5759,104
offline_datapoint_22 1631554456 216891392,000
offline_datapoint_1 1631554454 1,337
